Error en editarCliente, form_registros_design: string index out of range
Error en SaveClient, ClientsDao: UNIQUE constraint failed: Clients.client_ci
Error en SaveClient, ClientsDao: UNIQUE constraint failed: Clients.client_ci
Error en client_Delete, ClientsDao: incomplete input
Error en client_Delete, ClientsDao: incomplete input
Error en client_Delete, ClientsDao: incomplete input
Error en client_Delete, ClientsDao: incomplete input
Error en SaveClient, usuariosDao: database is locked
Error en GuardarCliente, form_registros_design: module 'datetime' has no attribute 'now'
Error en GuardarCliente, form_registros_design: module 'datetime' has no attribute 'now'
Error en SaveClient, usuariosDao: table usuarios has no column named data_created
Error en GuardarUsuario, form_users: 'usuarios' object has no attribute 'date_created'
Error en SaveClient, usuariosDao: table usuarios has no column named date_updated
Error en GuardarUsuario, form_users: unrecognized token: "{"
Error en GuardarUsuario, form_users: no such column: perfilname
Error en GuardarUsuario, form_users: Incorrect number of bindings supplied. The current statement uses 1, and there are 13 supplied.
Error en GuardarUsuario, form_users: Incorrect number of bindings supplied. The current statement uses 1, and there are 20 supplied.
Error en GuardarUsuario, form_users: Incorrect number of bindings supplied. The current statement uses 1, and there are 13 supplied.
Error en GuardarUsuario, form_users: Incorrect number of bindings supplied. The current statement uses 1, and there are 13 supplied.
Error en GuardarUsuario, form_users: 'function' object has no attribute 'destroy'
Error en GuardarUsuario, form_users: 'function' object has no attribute 'destroy'
Error en GuardarUsuario, form_users: 'function' object has no attribute 'destroy'
Error en GuardarUsuario, form_users: 'FormUsers' object has no attribute 'topCreate'
Error en GuardarUsuario, form_users: 'FormUsers' object has no attribute 'topCreate'
Error en GuardarUsuario, form_users: 'FormUsers' object has no attribute 'topCreate'
Error en GuardarUsuario, form_users: 'FormUsers' object has no attribute 'id'
Error en GuardarUsuario, form_users: 'FormUsers' object has no attribute 'id'
Error en GuardarUsuario, form_users: 'FormUsers' object has no attribute 'id'
Error en GuardarUsuario, form_users: 'FormUsers' object has no attribute 'id'
Error en GuardarUsuario, form_users: 'usuarios' object has no attribute 'data_update'
Error en GuardarUsuario, form_users: 'usuarios' object has no attribute 'data_update'
Error en EditClient, UsersDao: near "activo": syntax error
Error en eliminarUsuario, form_users: 'FormUsers' object has no attribute 'tablaUsuarios'
Error en eliminarUsuario, form_users: 'FormUsers' object has no attribute 'tablaUsuarios'
Error en eliminarUsuario, form_users: 'FormUsers' object has no attribute 'tablaUsuarios'
Error en eliminarUsuario, form_users: 'NoneType' object has no attribute 'item'
Error en eliminarUsuario, form_users: 'NoneType' object has no attribute 'item'
Error en buscarCorrelativo, form_users: 'FormUsers' object has no attribute 'cursor'
Error en buscarCorrelativo, form_users: no such column: usuario
Error en GuardarUsuario, form_users: usuarios.__init__() takes 6 positional arguments but 7 were given
Error en actualizarCorrelativo, form_users: unrecognized token: "'2 WHERE name = usuario"
Error en SaveClient, usuariosDao: database is locked
Error en SaveClient, usuariosDao: database is locked
Error en SaveClient, usuariosDao: database is locked
Error en buscarCorrelativo, util_funtions: ConexionDB.ejecutar_consulta() missing 1 required positional argument: 'consulta'
Error en buscarCorrelativo, util_funtions: ConexionDB.ejecutar_consulta() missing 1 required positional argument: 'consulta'
Error en actualizarCorrelativo, util_funtions: unsupported operand type(s) for +: 'NoneType' and 'int'
Error en buscarCorrelativo, util_funtions: 'method' object is not subscriptable
Error en buscarCorrelativo, util_funtions: 'method' object is not subscriptable
Error en actualizarCorrelativo, util_funtions: unsupported operand type(s) for +: 'NoneType' and 'int'
Error en buscarCorrelativo, util_funtions: 'method' object is not subscriptable
Error en buscarCorrelativo, util_funtions: 'method' object is not subscriptable
Error en actualizarCorrelativo, util_funtions: unsupported operand type(s) for +: 'NoneType' and 'int'
Error en SaveModulo, modulosDao: 6 values for 5 columns
